2024-03-21 21:42:38,682 | WARN  | Transport Connection to: tcp://127.0.0.1:56765 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56765@61616
2024-03-21 21:42:38,682 | WARN  | Transport Connection to: tcp://127.0.0.1:56759 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56759@61616
2024-03-21 21:42:38,682 | WARN  | Transport Connection to: tcp://127.0.0.1:56757 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56757@61616
2024-03-21 21:42:38,682 | WARN  | Transport Connection to: tcp://127.0.0.1:56756 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56756@61616
2024-03-21 21:42:38,681 | WARN  | Transport Connection to: tcp://127.0.0.1:56755 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56755@61616
2024-03-21 21:42:38,681 | WARN  | Transport Connection to: tcp://127.0.0.1:56754 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56754@61616
2024-03-21 21:42:38,681 | WARN  | Transport Connection to: tcp://127.0.0.1:56753 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56753@61616
2024-03-21 21:42:38,680 | WARN  | Transport Connection to: tcp://127.0.0.1:56751 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56751@61616
2024-03-21 21:42:38,680 | WARN  | Transport Connection to: tcp://127.0.0.1:56750 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56750@61616
2024-03-21 21:42:38,679 | WARN  | Transport Connection to: tcp://127.0.0.1:56749 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56749@61616
2024-03-21 21:42:38,679 | WARN  | Transport Connection to: tcp://127.0.0.1:56748 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56748@61616
